ERROR: apport (pid 2373) Fri Dec  4 11:17:32 2015: another apport instance is already running, aborting
ERROR: apport (pid 2354) Fri Dec  4 11:17:30 2015: called for pid 2334, signal 6, core limit 0
ERROR: apport (pid 2354) Fri Dec  4 11:17:30 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2354) Fri Dec  4 11:17:30 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2354) Fri Dec  4 11:17:30 2015: debug: session gdbus call: 
ERROR: apport (pid 2354) Fri Dec  4 11:17:32 2015: wrote report /var/crash/_usr_bin_unity8.32011.crash
ERROR: apport (pid 2377) Fri Dec  4 11:17:33 2015: called for pid 2374, signal 6, core limit 0
ERROR: apport (pid 2377) Fri Dec  4 11:17:33 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2377) Fri Dec  4 11:17:33 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2377) Fri Dec  4 11:17:33 2015: debug: session gdbus call: 
ERROR: apport (pid 2377) Fri Dec  4 11:17:33 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2391) Fri Dec  4 11:17:35 2015: called for pid 2383, signal 6, core limit 0
ERROR: apport (pid 2391) Fri Dec  4 11:17:35 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2391) Fri Dec  4 11:17:35 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2391) Fri Dec  4 11:17:35 2015: debug: session gdbus call: 
ERROR: apport (pid 2391) Fri Dec  4 11:17:35 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2397) Fri Dec  4 11:17:37 2015: called for pid 2394, signal 6, core limit 0
ERROR: apport (pid 2397) Fri Dec  4 11:17:37 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2397) Fri Dec  4 11:17:37 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2397) Fri Dec  4 11:17:37 2015: debug: session gdbus call: 
ERROR: apport (pid 2397) Fri Dec  4 11:17:37 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2403) Fri Dec  4 11:17:39 2015: called for pid 2400, signal 6, core limit 0
ERROR: apport (pid 2403) Fri Dec  4 11:17:39 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2403) Fri Dec  4 11:17:39 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2403) Fri Dec  4 11:17:39 2015: debug: session gdbus call: 
ERROR: apport (pid 2403) Fri Dec  4 11:17:39 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2414) Fri Dec  4 11:17:41 2015: called for pid 2411, signal 6, core limit 0
ERROR: apport (pid 2414) Fri Dec  4 11:17:41 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2414) Fri Dec  4 11:17:41 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2414) Fri Dec  4 11:17:41 2015: debug: session gdbus call: 
ERROR: apport (pid 2414) Fri Dec  4 11:17:41 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2420) Fri Dec  4 11:17:43 2015: called for pid 2417, signal 6, core limit 0
ERROR: apport (pid 2420) Fri Dec  4 11:17:44 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2420) Fri Dec  4 11:17:44 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2420) Fri Dec  4 11:17:44 2015: debug: session gdbus call: 
ERROR: apport (pid 2420) Fri Dec  4 11:17:44 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2431) Fri Dec  4 11:17:46 2015: called for pid 2423, signal 6, core limit 0
ERROR: apport (pid 2431) Fri Dec  4 11:17:46 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2431) Fri Dec  4 11:17:46 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2431) Fri Dec  4 11:17:46 2015: debug: session gdbus call: 
ERROR: apport (pid 2431) Fri Dec  4 11:17:46 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2437) Fri Dec  4 11:17:48 2015: called for pid 2434, signal 6, core limit 0
ERROR: apport (pid 2437) Fri Dec  4 11:17:48 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2437) Fri Dec  4 11:17:48 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2437) Fri Dec  4 11:17:48 2015: debug: session gdbus call: 
ERROR: apport (pid 2437) Fri Dec  4 11:17:48 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2443) Fri Dec  4 11:17:50 2015: called for pid 2440, signal 6, core limit 0
ERROR: apport (pid 2443) Fri Dec  4 11:17:50 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2443) Fri Dec  4 11:17:50 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2443) Fri Dec  4 11:17:50 2015: debug: session gdbus call: 
ERROR: apport (pid 2443) Fri Dec  4 11:17:50 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2454) Fri Dec  4 11:17:52 2015: called for pid 2451, signal 6, core limit 0
ERROR: apport (pid 2454) Fri Dec  4 11:17:52 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2454) Fri Dec  4 11:17:52 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2454) Fri Dec  4 11:17:52 2015: debug: session gdbus call: 
ERROR: apport (pid 2454) Fri Dec  4 11:17:52 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2460) Fri Dec  4 11:17:54 2015: called for pid 2457, signal 6, core limit 0
ERROR: apport (pid 2460) Fri Dec  4 11:17:54 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2460) Fri Dec  4 11:17:54 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2460) Fri Dec  4 11:17:54 2015: debug: session gdbus call: 
ERROR: apport (pid 2460) Fri Dec  4 11:17:54 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2471) Fri Dec  4 11:17:56 2015: called for pid 2463, signal 6, core limit 0
ERROR: apport (pid 2471) Fri Dec  4 11:17:56 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2471) Fri Dec  4 11:17:56 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2471) Fri Dec  4 11:17:56 2015: debug: session gdbus call: 
ERROR: apport (pid 2471) Fri Dec  4 11:17:56 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2478) Fri Dec  4 11:17:58 2015: called for pid 2475, signal 6, core limit 0
ERROR: apport (pid 2478) Fri Dec  4 11:17:58 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2478) Fri Dec  4 11:17:58 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2478) Fri Dec  4 11:17:58 2015: debug: session gdbus call: 
ERROR: apport (pid 2478) Fri Dec  4 11:17:58 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2484) Fri Dec  4 11:18:00 2015: called for pid 2481, signal 6, core limit 0
ERROR: apport (pid 2484) Fri Dec  4 11:18:00 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2484) Fri Dec  4 11:18:00 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2484) Fri Dec  4 11:18:00 2015: debug: session gdbus call: 
ERROR: apport (pid 2484) Fri Dec  4 11:18:00 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2495) Fri Dec  4 11:18:02 2015: called for pid 2492, signal 6, core limit 0
ERROR: apport (pid 2495) Fri Dec  4 11:18:02 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2495) Fri Dec  4 11:18:02 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2495) Fri Dec  4 11:18:02 2015: debug: session gdbus call: 
ERROR: apport (pid 2495) Fri Dec  4 11:18:02 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2501) Fri Dec  4 11:18:04 2015: called for pid 2498, signal 6, core limit 0
ERROR: apport (pid 2501) Fri Dec  4 11:18:04 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2501) Fri Dec  4 11:18:04 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2501) Fri Dec  4 11:18:04 2015: debug: session gdbus call: 
ERROR: apport (pid 2501) Fri Dec  4 11:18:04 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2512) Fri Dec  4 11:18:06 2015: called for pid 2504, signal 6, core limit 0
ERROR: apport (pid 2512) Fri Dec  4 11:18:06 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2512) Fri Dec  4 11:18:06 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2512) Fri Dec  4 11:18:06 2015: debug: session gdbus call: 
ERROR: apport (pid 2512) Fri Dec  4 11:18:06 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2518) Fri Dec  4 11:18:08 2015: called for pid 2515, signal 6, core limit 0
ERROR: apport (pid 2518) Fri Dec  4 11:18:08 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2518) Fri Dec  4 11:18:08 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2518) Fri Dec  4 11:18:08 2015: debug: session gdbus call: 
ERROR: apport (pid 2518) Fri Dec  4 11:18:08 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2524) Fri Dec  4 11:18:10 2015: called for pid 2521, signal 6, core limit 0
ERROR: apport (pid 2524) Fri Dec  4 11:18:10 2015: executable: /usr/bin/unity8 (command line "unity8")
ERROR: apport (pid 2524) Fri Dec  4 11:18:10 2015: gdbus call error: Error: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.gnome.SessionManager was not provided by any .service files

ERROR: apport (pid 2524) Fri Dec  4 11:18:10 2015: debug: session gdbus call: 
ERROR: apport (pid 2524) Fri Dec  4 11:18:10 2015: apport: report /var/crash/_usr_bin_unity8.32011.crash already exists and unseen, doing nothing to avoid disk usage DoS
ERROR: apport (pid 2541) Fri Dec  4 11:18:12 2015: called for pid 2535, signal 6, core limit 0
ERROR: apport (pid 2541) Fri Dec  4 11:18:12 2015: executable: /usr/bin/unity8 (command line "unity8")
