2013-11-27 16:05:42 startup archives install
2013-11-27 16:05:42 install base-files:armhf <none> 6.12ubuntu4
2013-11-27 16:05:42 status half-installed base-files:armhf 6.12ubuntu4
2013-11-27 16:05:43 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:43 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:43 install base-passwd:armhf <none> 3.5.26
2013-11-27 16:05:43 status half-installed base-passwd:armhf 3.5.26
2013-11-27 16:05:43 status unpacked base-passwd:armhf 3.5.26
2013-11-27 16:05:43 status unpacked base-passwd:armhf 3.5.26
2013-11-27 16:05:43 configure base-passwd:armhf 3.5.26 3.5.26
2013-11-27 16:05:43 status unpacked base-passwd:armhf 3.5.26
2013-11-27 16:05:43 status half-configured base-passwd:armhf 3.5.26
2013-11-27 16:05:43 status installed base-passwd:armhf 3.5.26
2013-11-27 16:05:43 configure base-files:armhf 6.12ubuntu4 6.12ubuntu4
2013-11-27 16:05:43 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:43 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:43 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:43 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:44 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:44 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:44 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:44 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:44 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:44 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:44 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:44 status unpacked base-files:armhf 6.12ubuntu4
2013-11-27 16:05:44 status half-configured base-files:armhf 6.12ubuntu4
2013-11-27 16:05:44 status installed base-files:armhf 6.12ubuntu4
2013-11-27 16:05:44 startup archives install
2013-11-27 16:05:45 upgrade dpkg 1.16.12ubuntu1 1.16.12ubuntu1
2013-11-27 16:05:45 status half-configured dpkg 1.16.12ubuntu1
2013-11-27 16:05:45 status unpacked dpkg 1.16.12ubuntu1
2013-11-27 16:05:45 status half-installed dpkg 1.16.12ubuntu1
2013-11-27 16:05:45 status half-installed dpkg 1.16.12ubuntu1
2013-11-27 16:05:45 status unpacked dpkg 1.16.12ubuntu1
2013-11-27 16:05:45 status unpacked dpkg 1.16.12ubuntu1
2013-11-27 16:05:45 configure dpkg 1.16.12ubuntu1 1.16.12ubuntu1
2013-11-27 16:05:45 status unpacked dpkg 1.16.12ubuntu1
2013-11-27 16:05:45 status unpacked dpkg 1.16.12ubuntu1
2013-11-27 16:05:45 status unpacked dpkg 1.16.12ubuntu1
2013-11-27 16:05:45 status unpacked dpkg 1.16.12ubuntu1
2013-11-27 16:05:46 status unpacked dpkg 1.16.12ubuntu1
2013-11-27 16:05:46 status half-configured dpkg 1.16.12ubuntu1
2013-11-27 16:05:46 status installed dpkg 1.16.12ubuntu1
2013-11-27 16:05:46 startup archives install
2013-11-27 16:05:47 install libc6:armhf <none> 2.17-93ubuntu4
2013-11-27 16:05:47 status half-installed libc6:armhf 2.17-93ubuntu4
2013-11-27 16:05:48 status unpacked libc6:armhf 2.17-93ubuntu4
2013-11-27 16:05:48 status unpacked libc6:armhf 2.17-93ubuntu4
2013-11-27 16:05:48 configure libc6:armhf 2.17-93ubuntu4 2.17-93ubuntu4
2013-11-27 16:05:48 status unpacked libc6:armhf 2.17-93ubuntu4
2013-11-27 16:05:48 status unpacked libc6:armhf 2.17-93ubuntu4
2013-11-27 16:05:48 status half-configured libc6:armhf 2.17-93ubuntu4
2013-11-27 16:05:48 status installed libc6:armhf 2.17-93ubuntu4
2013-11-27 16:05:49 startup archives install
2013-11-27 16:05:49 install perl-base:armhf <none> 5.14.2-21build1
2013-11-27 16:05:49 status half-installed perl-base:armhf 5.14.2-21build1
2013-11-27 16:05:50 status unpacked perl-base:armhf 5.14.2-21build1
2013-11-27 16:05:50 status unpacked perl-base:armhf 5.14.2-21build1
2013-11-27 16:05:50 configure perl-base:armhf 5.14.2-21build1 5.14.2-21build1
2013-11-27 16:05:50 status unpacked perl-base:armhf 5.14.2-21build1
2013-11-27 16:05:50 status half-configured perl-base:armhf 5.14.2-21build1
2013-11-27 16:05:50 status installed perl-base:armhf 5.14.2-21build1
2013-11-27 16:05:50 startup archives install
2013-11-27 16:05:50 install mawk:armhf <none> 1.3.3-17ubuntu1
2013-11-27 16:05:50 status half-installed mawk:armhf 1.3.3-17ubuntu1
2013-11-27 16:05:50 status unpacked mawk:armhf 1.3.3-17ubuntu1
2013-11-27 16:05:50 status unpacked mawk:armhf 1.3.3-17ubuntu1
2013-11-27 16:05:50 configure mawk:armhf 1.3.3-17ubuntu1 1.3.3-17ubuntu1
2013-11-27 16:05:50 status unpacked mawk:armhf 1.3.3-17ubuntu1
2013-11-27 16:05:50 status half-configured mawk:armhf 1.3.3-17ubuntu1
2013-11-27 16:05:51 status installed mawk:armhf 1.3.3-17ubuntu1
2013-11-27 16:05:51 startup archives install
